Bat,Runs,Expected Runs,RAAR,%age of Runs Above Average Replacement,False Shots,Balls,From Date,To Date,Teams Batters Played For,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Russell,6951,5709.13,1241.87,17.87,1094,4079,1/3/2015,8/13/2024,"Kolkata Knight Riders, West Indies, Colombo Stars, Rajshahi Royals, Jamaica Tallawahs, Trinbago Knight Riders, Manchester Originals (Men), Sydney Thunder, Melbourne Renegades, Multan Sultans, Islamabad United, Minister Group Dhaka, Knights, Nangarhar Leopards, Comilla Victorians, Nottinghamshire, Quetta Gladiators, Abu Dhabi Knight Riders, Los Angeles Knight Riders, London Spirit (Men)",,,,,,,,,,,,,,,,,,,,,,,,,
Chris Gayle,7721,6651.72,1069.28,13.85,962,5356,1/9/2015,2/18/2022,"Punjab Kings, Royal Challengers Bangalore, Fortune Barishal, West Indies, Chattogram Challengers, St Kitts and Nevis Patriots, Rangpur Rangers, Melbourne Renegades, Jamaica Tallawahs, Somerset, Quetta Gladiators, Balkh Legends, Lahore Qalandars, Karachi Kings, Jozi Stars, Barisal Bulls",,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers,5829,4827.31,1001.69,17.18,548,3637,4/11/2015,10/11/2021,"Royal Challengers Bangalore, South Africa, Lahore Qalandars, Rangpur Rangers, Middlesex, Brisbane Heat, Tshwane Spartans, Titans, Barbados Royals",,,,,,,,,,,,,,,,,,,,,,,,,
Kieron Pollard,8130,7187.70,942.30,11.59,1250,5481,1/4/2015,8/18/2024,"Minister Group Dhaka, West Indies, Mumbai Indians, Multan Sultans, St Lucia Kings, Trinbago Knight Riders, London Spirit (Men), Cape Cobras, Barbados Royals, Adelaide Strikers, Melbourne Renegades, Surrey, Peshawar Zalmi, Karachi Kings, MI Emirates, MI Cape Town, MI New York, Southern Brave (Men)",,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Maxwell,7794,6864.47,929.53,11.93,1243,5103,1/3/2015,7/28/2024,"Punjab Kings, Australia, Melbourne Stars, Royal Challengers Bangalore, Delhi Capitals, London Spirit (Men), Lancashire, Yorkshire, Warwickshire, Royal Challengers Bengaluru, Washington Freedom",,,,,,,,,,,,,,,,,,,,,,,,,
Suryakumar Yadav,6104,5198.48,905.52,14.83,871,3936,4/8/2015,7/30/2024,"Kolkata Knight Riders, Mumbai Indians, India, Mumbai",,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Pooran,7198,6317.32,880.68,12.24,1225,4890,7/1/2016,8/11/2024,"Khulna Tigers, Sylhet Sunrisers, West Indies, Sunrisers Hyderabad, Barbados Royals, Punjab Kings, Guyana Amazon Warriors, Trinbago Knight Riders, Melbourne Stars, Yorkshire, Islamabad United, Rangpur Riders, Lucknow Super Giants, MI Emirates, Durban's Super Giants, MI New York, Northern Superchargers (Men)",,,,,,,,,,,,,,,,,,,,,,,,,
Rilee Rossouw,7122,6346.37,775.63,10.89,741,4778,1/9/2015,7/21/2024,"Khulna Tigers, Quetta Gladiators, Rangpur Rangers, South Africa, Melbourne Renegades, Multan Sultans, Hampshire, Oval Invincibles (Men), Somerset, Royal Challengers Bangalore, Knights, Tshwane Spartans, Sydney Thunder, Pretoria Capitals, Delhi Capitals, Punjab Kings, Jaffna Kings",,,,,,,,,,,,,,,,,,,,,,,,,
Faf du Plessis,8076,7346.42,729.58,9.03,1232,5757,1/9/2015,7/26/2024,"Chennai Super Kings, South Africa, St Kitts and Nevis Patriots, Rising Pune Supergiant, St Lucia Kings, Kent, Royal Challengers Bangalore, Northern Superchargers (Men), Paarl Rocks, Peshawar Zalmi, Quetta Gladiators, Comilla Victorians, World-XI, Perth Scorchers, Joburg Super Kings, Royal Challengers Bengaluru, Texas Super Kings",,,,,,,,,,,,,,,,,,,,,,,,,
Colin Ingram,6713,5985.66,727.34,10.83,392,4725,5/15/2015,7/19/2024,"Glamorgan, Kabul Zwanan, Karachi Kings, Sylhet Sunrisers, Guyana Amazon Warriors, Warriors, Adelaide Strikers, Trinbago Knight Riders, St Lucia Kings, Hobart Hurricanes, Delhi Capitals, Islamabad United, Oval Invincibles (Men), Pretoria Capitals",,,,,,,,,,,,,,,,,,,,,,,,,
Chris Lynn,7087,6401.21,685.79,9.68,956,4941,1/2/2015,2/15/2024,"Kolkata Knight Riders, Brisbane Heat, Guyana Amazon Warriors, Trinbago Knight Riders, St Kitts and Nevis Patriots, Lahore Qalandars, Australia, Northamptonshire, Mumbai Indians, Multan Sultans, Northern Superchargers (Men), Jamaica Tallawahs, Adelaide Strikers, Jaffna Kings, Gulf Giants",,,,,,,,,,,,,,,,,,,,,,,,,
Quinton de Kock,7860,7200.42,659.58,8.39,1274,5646,5/9/2015,7/23/2024,"South Africa, Barbados Royals, Mumbai Indians, Lucknow Super Giants, Titans, Delhi Capitals, Southern Brave (Men), Royal Challengers Bangalore, Cape Town Blitz, Easterns, Durban's Super Giants, Melbourne Renegades, Seattle Orcas",,,,,,,,,,,,,,,,,,,,,,,,,
Evin Lewis,5381,4722.78,658.22,12.23,795,3674,6/24/2015,2/20/2024,"Minister Group Dhaka, West Indies, St Kitts and Nevis Patriots, Mumbai Indians, Comilla Victorians, Rajasthan Royals, Lucknow Super Giants, Barisal Bulls, Khulna Tigers",,,,,,,,,,,,,,,,,,,,,,,,,
Jos Buttler,9602,8978.25,623.75,6.50,1360,6624,6/5/2015,6/27/2024,"England, Rajasthan Royals, Mumbai Indians, Lancashire, Sydney Thunder, Manchester Originals (Men), Comilla Victorians, Paarl Royals",,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul,6768,6193.84,574.16,8.48,1003,4911,4/11/2015,5/17/2024,"India, Punjab Kings, Lucknow Super Giants, Royal Challengers Bangalore, Sunrisers Hyderabad, Karnataka",,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Phillips,6102,5528.07,573.93,9.41,785,4319,2/17/2017,8/14/2024,"New Zealand, Barbados Royals, Jamaica Tallawahs, Gloucestershire, Auckland, Welsh Fire (Men), Rajasthan Royals, New Zealand A, Sunrisers Hyderabad, Otago, Colombo Strikers",,,,,,,,,,,,,,,,,,,,,,,,,
Colin Munro,9010,8452.79,557.21,6.18,1444,6395,5/29/2015,3/18/2024,"New Zealand, Islamabad United, Trinbago Knight Riders, Perth Scorchers, Sydney Sixers, Karachi Kings, Manchester Originals (Men), Worcestershire, Delhi Capitals, Hampshire, Auckland, Balkh Legends, Trent Rockets (Men), Kolkata Knight Riders, Brisbane Heat, Nottinghamshire, St Lucia Kings, Desert Vipers",,,,,,,,,,,,,,,,,,,,,,,,,
Alex Hales,9488,8935.58,552.42,5.82,1157,6434,1/2/2015,8/14/2024,"England, Rangpur Rangers, Nottinghamshire, Barbados Royals, Sydney Thunder, Sunrisers Hyderabad, Trent Rockets (Men), Islamabad United, Karachi Kings, Durban Heat, Hobart Hurricanes, Jamaica Tallawahs, Desert Vipers, Khulna Tigers, Galle Marvels",,,,,,,,,,,,,,,,,,,,,,,,,
